date,pnl_dollars,pnl_bps_equity,equity_curve,drawdown_dollars
2024-10-02,-1108.3013314433028,-100.75466649484572,1737993.9719318105,-1715.3259342883248
2024-10-03,-2659.3735460997977,-241.76123146361797,1735334.5983857107,-4374.699480388081
2024-10-04,1760.2838319895259,160.02580290813873,1737094.8822177004,-2614.4156483984552
2024-10-07,493.50842083439545,44.86440189403595,1737588.3906385347,-2120.9072275641374
2024-10-08,-1166.9698099844193,-106.08816454403812,1736421.4208285504,-3287.87703754846
2024-10-09,2764.832558179562,251.3484143799602,1739186.2533867299,-523.044479368953
2024-10-10,-186.1480072295824,-16.922546111780218,1739000.1053795002,-709.192486598622
2024-10-11,-458.67812238752265,-41.698011126138425,1738541.4272571127,-1167.8706089861225
2024-10-14,-2154.046145017711,-195.8223768197919,1736387.381112095,-3321.916754003847
2024-10-15,-465.35273125602396,-42.30479375054763,1735922.028380839,-3787.2694852598943
2024-10-16,959.4929816014248,87.22663469103863,1736881.5213624404,-2827.776503658388
2024-10-17,1751.8629429459897,159.26026754054453,1738633.3843053863,-1075.9135607124772
2024-10-18,-170.5201445794662,-15.50183132540602,1738462.8641608069,-1246.4337052919436
2024-10-21,-364.3101514216055,-33.11910467469141,1738098.5540093852,-1610.7438567136414
2024-10-22,1179.93493886746,107.26681262431455,1739278.4889482525,-430.80891784629785
2024-10-23,-324.65966468913024,-29.514514971739114,1738953.8292835634,-755.4685825353954
2024-10-24,348.5470294429215,31.686093585720133,1739302.3763130063,-406.92155309254304
